Name,,,
P-,130,,
units,m,,
top_depth ,base_depth,,Description
20,30,,"Sandstone: greenish to yellowish grey, fine lower to moderate lower, sub angular, moderately well sorted, free calcite crystals, slightly calcareous cement, thin grey shale interbeds, 6 to 9 % porosity, Sneider 2"
30,40,,"Interbedded Grey Shale and Red Silty Shale: grey is light greenish grey, sub fissile, waxy, red is brick red, blocky, and silty throughout"
40,60,,"Red Silty Shale: waxy, with stringers of grey shale, red is brick red, blocky, and silty throughout"
60,70,,"Interbedded Grey Shale and Red Silty Shale: grey is light greenish grey, sub fissile, waxy, red is brick red, blocky, and silty throughout, 75 % of sample is grey shale."
70,81.5,,"Grey Silty Shale: with brick red to brown red, micromicaceous, silty shale, and stingers of fine grained grey sandstone"
81.5,90,,"Sandstone Interbedded with silty red shale and grey shale: sandstone is pale red to greenish grey, very fine upper to fine lower, 6 to 9 % porosity, Sneider 2 to 1D"
90,100,,"Red Silty Shale: waxy, with stringers of grey shale, red is brick red, blocky, and silty throughout"
100,110,,"Sandstone: light greyish white, kaolinitic, fine lower to fine upper, sub rounded, moderately well sorted, 6 % porosity, Sneider 1D, interbeds to stringers of clear fine grained sub rounded well sorted quartz arenite, slightly calcareous, and stringers siltstone as above"
110,130,,"Sandstone: white to light grey white and clear, kaolinitic, fine lower to fine upper, sub rounded, moderately well sorted, 6 % porosity, Sneider 1D, interbeds to stringers of grey shale to silty shale, slightly calcareous"
130,140,,"Sandstone: white to light grey white and clear, kaolinitic, fine lower to fine upper, sub rounded, moderately well sorted, 6 % porosity, Sneider 1D, interbeds to stringers of grey shale to silty shale, slightly calcareous"
140,150,,"Sandstone: white to light grey white and clear, almost entirely unconsolidated, kaolinitic, fine lower to fine upper, sub rounded, moderately well sorted, 6 % porosity, Sneider 1D to 1C (based on unconsolidated nature of sample), interbeds to stringers of grey shale to silty shale, slightly calcareous"
150,160,,"Siltstone: Brick red to brown red, micromicaceous, silty throughout, blocky, slightly waxy, grading to silty shale, with stringers of grey shale"
160,170,,"Shale: grey to greenish grey, silty throughout, blocky to sub fissile, grading to very fine grained sandstone"
170,180,,"Shale: Brick red to brown red, micromicaceous, silty throughout, blocky, slightly waxy, grading to silty shale, with stringers of grey shale"
180,190,,"Sandstone: white to light grey white and clear, kaolinite, fine lower to fine upper, sub rounded to sub angular, moderately well sorted, 3 % porosity, Sneider 2, interbeds to stringers grey shale to silty shale"
190,200,,"Sandstone: white to light grey white and clear, kaolinite, fine lower to fine upper, sub rounded to sub angular, very well sorted, 3 % porosity, Sneider 2, stringers of grey shale to silty shale, few calcite crystals"
200,210,,"Shale: Brick red to brown red, micromicaceous, silty throughout, blocky to fissile, slightly waxy, grading to silty shale"
210,220,,"Sandstone: white to light grey white and clear, kaolinite, fine lower to fine upper, sub angular, moderately well sorted, 3 % porosity, Sneider 2, interbeds to stringers grey shale to silty shale"
220,250,,"Shale: brick red to brown red, micromicaceous, silty throughout, blocky to fissile, slightly waxy, grading to silty shale"
250,270,,"Shale: brick red to brown red, micromicaceous, silty throughout, blocky to fissile, slightly waxy, grading to silty shale"
270,300,,"Shale: brick red to brown red, micromicaceous, silty throughout, blocky to fissile, slightly waxy, grading to silty shale and very fine grained sandstone locally, few oxidation reduction rims"
300,340,,"Shale: brick red to brown red, micromicaceous, silty throughout, blocky to fissile, slightly waxy, grading to silty shale and very fine grained sandstone locally, few oxidation reduction rims"
340,351,,"Shale: grey to green grey, silty throughout, blocky to sub fissile, grading regularly to very fine grained sandstone"
351,360,,"Sandstone: white to light grey white and clear, well consolidated, kaolinite, fine lower to fine upper, sub rounded, moderately well sorted, 3 to 5 % porosity, Sneider 1D"
360,370,,"Shale: brick red to brown red, micromicaceous, silty throughout, blocky to fissile, waxy, grading to silty shale"
370,380,,"Sandstone: white to clear, quartz arenite, very loosely consolidated, trace kaolinite, fine upper to medium lower, sub rounded, moderately well sorted, 8 to 10 % porosity, Sneider 1C"
380,390,,"Shale: light grey to green grey, silty throughout, blocky to sub fissile, grading regularly to very fine grained sandstone"
390,400,,Interbedded Silty red and grey shale: as above
400,410,,"Shale: light grey, blocky, only slightly silty locally"
410,420,,"Shale: brick red to brown red, micromicaceous, silty throughout, blocky to fissile, waxy, grading to silty shale, thin stringers of sandstone as above"
420,440,,Interbedded Silty red and grey shale: as above
440,450,,"Shale: brick red to brown red, micromicaceous, silty throughout, blocky to fissile, waxy, grading to silty shale"
450,465,,"Shale: brick red to brown red, micromicaceous, silty throughout, blocky to fissile, waxy, grading to silty shale"
465,480,,"Shale: brick red to brown red, micromicaceous, silty throughout, blocky to fissile, waxy, grading to silty shale, with thin interbeds to stringers of grey shale"
480,490,,"Shale: brick red to brown red, micromicaceous, silty throughout, blocky to fissile, waxy, grading to silty shale, with thin interbeds to stringers of grey shale"
490,495,,"Shale: light grey, blocky, slightly silty, hard, with interbeds of darker grey to grey black, fissile shale"
495,510,,"Shale: light grey, blocky, slightly silty, hard, with interbeds of darker grey to grey black, fissile shale, as above"
510,526,,"Shale: light grey, blocky, slightly silty, hard, with interbeds of darker grey to grey black shale, fissile, trace organic plant remains, with stringers of very fine grained white sandstone"
526,530,,"Shale: moderate grey to black grey, sub fissile to fissile, brittle, slightly silty"
530,540,,"Interbedded Siltstone and Shale: grey to white grey, silty throughout, blocky to sub fissile, interbedded with siltstone, brick red to brown red, micromicaceous, silty throughout, blocky"
